"Component","n","percent"
"Behaviour",26,9.38628158844765
"Biodiversity",187,67.5090252707581
"Breeding",46,16.6064981949458
"Demographics/Patterns",45,16.2454873646209
"Foraging",1,0.36101083032491
"Resources",5,1.80505415162455
"Survival",26,9.38628158844765
NA,1,0.36101083032491
