"Year","Journal","COUNTRY","Study.country","Urb.scale","Start.year","End.year","Comparator","birdcomp1","birdcomp2","birdcomp3","birdcomp4","Rec.","Rec.1","Rec.2","Rec.3","Forest.comp"
2017,"Wildlife Society Bulletin","USA","USA","Multi-patch",2012,2013,"N","Survival",NA,NA,NA,"Yes","Management",NA,NA,"Land use type"
1993,"Environmental Pollution","Canada","Canada","Patch",1988,1988,"Y","Breeding",NA,NA,NA,"Yes","Management",NA,NA,"Individual tree management"
2003,"Landscape and Urban Planning","USA","USA","Multi-patch",1998,1999,"N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,"Forested area"
2013,"PLoS One","Australia","Australia","Multi-patch",2009,2010,"N","Resources",NA,NA,NA,"Yes","Conservation",NA,NA,"Forested area"
2002,"Acta Ornithologica","Bulgaria","Bulgaria","Multi-patch",1999,2000,"N","Breeding",NA,NA,NA,"No",NA,NA,NA,"Composition"
1986,"Symposium on Remote Sensing for Resources Development and Environmental Management","United Kingdom","United Kingdom","Region",1981,1984,"N","Demographics/Patterns",NA,NA,NA,"No",NA,NA,NA,"Green space type"
2005,"Northwest Science","USA","USA","Multi-patch",1996,2002,"Y","Demographics/Patterns","Breeding",NA,NA,"No",NA,NA,NA,"Fragmentation"
2014,"Biological Conservation","USA","USA","Region",2000,2050,"N","Demographics/Patterns",NA,NA,NA,"Yes","Management","Conservation",NA,"Land use type, Forested area"
2016,"Plant Ecology","Japan","Japan","Patch",2010,2014,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA,"Forested area, Individual tree management, Composition"
2015,"Urban Ecosystems","Canada","Canada","Multi-patch",NA,NA,"Y","Demographics/Patterns",NA,NA,NA,"Yes","Conservation",NA,NA,"Diversity metric, Forested area"
2016,"Ecosphere","USA","USA","Multi-patch",2013,2015,"N","Breeding","Survival",NA,NA,"Yes","Management",NA,NA,"Composition"
2013,"The Condor","USA","USA","Patch",2008,2009,"Y","Behaviour","Survival",NA,NA,"No",NA,NA,NA,"Composition, Forested area, Exotic/invasive species"
2014,"The Condor","USA","USA","Multi-patch",2010,2011,"Y","Biodiversity","Resources","Demographics/Patterns",NA,"Yes","Management",NA,NA,"Exotic/invasive species, Land-use type, Forested area"
2006,"Biological Conservation","USA","USA","Multi-patch",2003,2005,"Y","Demographics/Patterns","Breeding","Survival",NA,"Yes","Conservation",NA,NA,"Exotic/invasive species, Forested area,"
2012,"Avian Biology","Canada","Canada","Multi-patch",2007,2007,"Y","Behaviour",NA,NA,NA,"No",NA,NA,NA,"Canopy Cover"
2011,"Ecology","USA","USA","Multi-patch",2006,2008,"Y","Breeding",NA,NA,NA,"No",NA,NA,NA,"Exotic/invasive species, Forested area"
2008,"Landscape Ecology","USA","USA","Region",1999,2005,"N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,"Forested area, Land use type"
1995,"Environmental Management","Canada","Canada","Patch",1991,1991,"N","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Management","Restoration",NA,"Land use type, Forested area"
2009,"Ecosystems","Japan","Japan","Region",2005,2006,"Y","Biodiversity",NA,NA,NA,"No",NA,NA,NA,"Canopy Cover"
2007,"Journal of Great Lakes Research","USA","USA","Multi-city",NA,NA,"Y","Biodiversity",NA,NA,NA,"No",NA,NA,NA,"Land Use Type"
2006,"Bird Study","Ireland","Ireland","Patch",1999,1999,"N","Demographics/Patterns",NA,NA,NA,"No",NA,NA,NA,"Composition, Land use type"
2018,"Environmental Research","Portugal","Portugal","Patch",2015,2015,"Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Land use type"
2021,"Land","Australia","Australia","Patch",NA,NA,NA,"Demographics/Patterns",NA,NA,NA,"Yes","Restoration",NA,NA,"Canopy Cover"
