"forest","n","percent"
"Canopy cover",77,27.7978339350181
"Composition",131,47.2924187725632
"Connectivity",15,5.41516245487365
"Diversity metric",14,5.05415162454874
"Exotic/invasive species",12,4.33212996389892
"Forested area",106,38.2671480144404
"Fragmentation",16,5.77617328519856
"Individual tree management",13,4.69314079422383
"Land use type",78,28.158844765343
"Native species",13,4.69314079422383
